Date,open,high,low,Close,adjusted_close,volume
26-05-2017,1312.5,1313.4301,1282.3199,1289.12,1222.9076,1362550
25-05-2017,1288.5,1318.78,1284,1312.3,1244.8971,4094094
24-05-2017,1267.4,1285,1264.8199,1279.5699,1213.8481,2534548
23-05-2017,1266.6,1282.0699,1257,1260.85,1196.0896,2748596
22-05-2017,1255,1276.88,1255,1265.6801,1200.6716,1663940
19-05-2017,1268.1,1270.28,1243,1253.5699,1189.1837,1786044
18-05-2017,1225,1286,1221.12,1268.1,1202.9674,5138594
17-05-2017,1216.75,1230.38,1211.5,1227.6801,1164.6233,2876198
16-05-2017,1190,1217.5,1186.72,1214.5699,1152.1866,3601026
15-05-2017,1187.55,1188.97,1170.8,1182.55,1121.8116,1817604
12-05-2017,1171.65,1184.95,1160.03,1180.3199,1119.6957,2314446
11-05-2017,1173.65,1180,1161.38,1174.72,1114.3835,2071302
10-05-2017,1177.5,1178.0699,1158,1166.22,1106.3201,1206388
09-05-2017,1171.97,1180.5,1166.28,1176.28,1115.8633,1790270
08-05-2017,1160.5,1173.7,1158.85,1171.22,1111.0632,1071782
05-05-2017,1154,1166.25,1151.25,1160.25,1100.6569,1682474
04-05-2017,1174.97,1175,1154.4,1165.05,1105.2103,2708208
03-05-2017,1147.5,1172.5,1134.25,1168.65,1108.6254,3514406
02-05-2017,1147,1151,1140,1144.95,1086.1426,2382696
28-04-2017,1147,1149.38,1134,1136.5699,1078.1929,2540510
27-04-2017,1153.03,1163.9,1138.8199,1151.3199,1092.1853,5773186
26-04-2017,1170,1171.97,1151.53,1155.1801,1095.8473,2187438
25-04-2017,1164,1172.22,1151.35,1155.75,1096.3881,3148710
24-04-2017,1150,1169.8199,1141.25,1164.05,1104.2615,2000020
21-04-2017,1164.55,1167.8199,1150.5,1155.4,1096.0558,1161154
20-04-2017,1152.65,1166,1145.47,1162.75,1103.0284,1268842
19-04-2017,1131.75,1174.35,1126.4,1149.5699,1090.5253,5626812
18-04-2017,1165,1167.1,1151.03,1154.4,1095.1072,1730620
17-04-2017,1165.2,1166.45,1147.5699,1157.4301,1097.9814,2270882
13-04-2017,1200,1204.5,1160.53,1164.3199,1104.5176,2500472
12-04-2017,1211.25,1214,1191.5,1196.62,1135.1587,1050538
11-04-2017,1208.65,1221.55,1203,1209.65,1147.5197,1557784
10-04-2017,1216,1224.5,1202.5,1211.12,1148.9139,2543264
07-04-2017,1197.45,1216.62,1196.0699,1214.53,1152.1489,2277012
06-04-2017,1200,1205,1196.28,1200.03,1138.3937,1720704
05-04-2017,1209.95,1209.95,1197.5,1200.62,1138.9531,2905568
03-04-2017,1217.5,1217.5,1204.1,1205.85,1143.9146,1196888
31-03-2017,1219.2,1220.4301,1207.5,1215.9,1153.4486,1867044
30-03-2017,1222.45,1232.5,1217.5,1220.5,1157.8123,2986086
29-03-2017,1218,1225.4,1212.8,1222.3,1159.5197,1717764
28-03-2017,1205,1221.7,1205,1214.97,1152.5663,1153158
27-03-2017,1213.47,1220,1203,1206.03,1144.0854,2181270
24-03-2017,1234.9,1234.9,1211.65,1213.6,1151.2666,5099814
23-03-2017,1241,1242.53,1223.6,1230.1801,1166.9951,2620638
22-03-2017,1240.0699,1248,1234.97,1239.47,1175.8079,1888716
21-03-2017,1241,1246,1232.5,1243.35,1179.4884,3373700
20-03-2017,1262.97,1262.97,1233,1240,1176.3105,3487540
17-03-2017,1273,1273,1254.88,1262.88,1198.0155,2593152
16-03-2017,1253,1263.5,1253,1260.45,1195.7102,1571818
